date_time,san_francisco_ca_maxtempC,san_francisco_ca_mintempC,san_francisco_ca_totalSnow_cm,san_francisco_ca_sunHour,san_francisco_ca_uvIndex,san_francisco_ca_uvIndex.1,san_francisco_ca_moon_illumination,san_francisco_ca_moonrise,san_francisco_ca_moonset,san_francisco_ca_sunrise,san_francisco_ca_sunset,san_francisco_ca_DewPointC,san_francisco_ca_FeelsLikeC,san_francisco_ca_HeatIndexC,san_francisco_ca_WindChillC,san_francisco_ca_WindGustKmph,san_francisco_ca_cloudcover,san_francisco_ca_humidity,san_francisco_ca_precipMM,san_francisco_ca_pressure,san_francisco_ca_tempC,san_francisco_ca_visibility,san_francisco_ca_winddirDegree,san_francisco_ca_windspeedKmph,new_york_ny_maxtempC,new_york_ny_mintempC,new_york_ny_totalSnow_cm,new_york_ny_sunHour,new_york_ny_uvIndex,new_york_ny_uvIndex.1,new_york_ny_moon_illumination,new_york_ny_moonrise,new_york_ny_moonset,new_york_ny_sunrise,new_york_ny_sunset,new_york_ny_DewPointC,new_york_ny_FeelsLikeC,new_york_ny_HeatIndexC,new_york_ny_WindChillC,new_york_ny_WindGustKmph,new_york_ny_cloudcover,new_york_ny_humidity,new_york_ny_precipMM,new_york_ny_pressure,new_york_ny_tempC,new_york_ny_visibility,new_york_ny_winddirDegree,new_york_ny_windspeedKmph,springfield_ma_maxtempC,springfield_ma_mintempC,springfield_ma_totalSnow_cm,springfield_ma_sunHour,springfield_ma_uvIndex,springfield_ma_uvIndex.1,springfield_ma_moon_illumination,springfield_ma_moonrise,springfield_ma_moonset,springfield_ma_sunrise,springfield_ma_sunset,springfield_ma_DewPointC,springfield_ma_FeelsLikeC,springfield_ma_HeatIndexC,springfield_ma_WindChillC,springfield_ma_WindGustKmph,springfield_ma_cloudcover,springfield_ma_humidity,springfield_ma_precipMM,springfield_ma_pressure,springfield_ma_tempC,springfield_ma_visibility,springfield_ma_winddirDegree,springfield_ma_windspeedKmph,boston_ma_maxtempC,boston_ma_mintempC,boston_ma_totalSnow_cm,boston_ma_sunHour,boston_ma_uvIndex,boston_ma_uvIndex.1,boston_ma_moon_illumination,boston_ma_moonrise,boston_ma_moonset,boston_ma_sunrise,boston_ma_sunset,boston_ma_DewPointC,boston_ma_FeelsLikeC,boston_ma_HeatIndexC,boston_ma_WindChillC,boston_ma_WindGustKmph,boston_ma_cloudcover,boston_ma_humidity,boston_ma_precipMM,boston_ma_pressure,boston_ma_tempC,boston_ma_visibility,boston_ma_winddirDegree,boston_ma_windspeedKmph,springfield_il_maxtempC,springfield_il_mintempC,springfield_il_totalSnow_cm,springfield_il_sunHour,springfield_il_uvIndex,springfield_il_uvIndex.1,springfield_il_moon_illumination,springfield_il_moonrise,springfield_il_moonset,springfield_il_sunrise,springfield_il_sunset,springfield_il_DewPointC,springfield_il_FeelsLikeC,springfield_il_HeatIndexC,springfield_il_WindChillC,springfield_il_WindGustKmph,springfield_il_cloudcover,springfield_il_humidity,springfield_il_precipMM,springfield_il_pressure,springfield_il_tempC,springfield_il_visibility,springfield_il_winddirDegree,springfield_il_windspeedKmph,albany_ny_maxtempC,albany_ny_mintempC,albany_ny_totalSnow_cm,albany_ny_sunHour,albany_ny_uvIndex,albany_ny_uvIndex.1,albany_ny_moon_illumination,albany_ny_moonrise,albany_ny_moonset,albany_ny_sunrise,albany_ny_sunset,albany_ny_DewPointC,albany_ny_FeelsLikeC,albany_ny_HeatIndexC,albany_ny_WindChillC,albany_ny_WindGustKmph,albany_ny_cloudcover,albany_ny_humidity,albany_ny_precipMM,albany_ny_pressure,albany_ny_tempC,albany_ny_visibility,albany_ny_winddirDegree,albany_ny_windspeedKmph,los_angeles_ca_maxtempC,los_angeles_ca_mintempC,los_angeles_ca_totalSnow_cm,los_angeles_ca_sunHour,los_angeles_ca_uvIndex,los_angeles_ca_uvIndex.1,los_angeles_ca_moon_illumination,los_angeles_ca_moonrise,los_angeles_ca_moonset,los_angeles_ca_sunrise,los_angeles_ca_sunset,los_angeles_ca_DewPointC,los_angeles_ca_FeelsLikeC,los_angeles_ca_HeatIndexC,los_angeles_ca_WindChillC,los_angeles_ca_WindGustKmph,los_angeles_ca_cloudcover,los_angeles_ca_humidity,los_angeles_ca_precipMM,los_angeles_ca_pressure,los_angeles_ca_tempC,los_angeles_ca_visibility,los_angeles_ca_winddirDegree,los_angeles_ca_windspeedKmph,chicago_il_maxtempC,chicago_il_mintempC,chicago_il_totalSnow_cm,chicago_il_sunHour,chicago_il_uvIndex,chicago_il_uvIndex.1,chicago_il_moon_illumination,chicago_il_moonrise,chicago_il_moonset,chicago_il_sunrise,chicago_il_sunset,chicago_il_DewPointC,chicago_il_FeelsLikeC,chicago_il_HeatIndexC,chicago_il_WindChillC,chicago_il_WindGustKmph,chicago_il_cloudcover,chicago_il_humidity,chicago_il_precipMM,chicago_il_pressure,chicago_il_tempC,chicago_il_visibility,chicago_il_winddirDegree,chicago_il_windspeedKmph
2018-12-11 00:00:00,13,8,0.0,8.7,4,0,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,10,11,12,11,11,6,86,0.0,1022,10,10,329,8,4,-1,0.0,8.7,2,0,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-5,0,3,0,12,0,56,0.0,1023,0,10,20,10,1,-7,0.0,8.7,2,0,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-5,-1,-1,-1,3,0,72,0.0,1023,-5,10,18,3,1,-4,0.0,8.7,2,0,21,10:19 AM,08:12 PM,07:03 AM,04:11 PM,-7,-3,0,-3,10,0,57,0.0,1022,-3,10,339,8,5,-3,0.0,8.7,2,0,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-6,-8,-3,-8,31,33,76,0.0,1024,-3,10,211,15,-2,-8,0.0,8.7,2,0,21,10:31 AM,08:22 PM,07:15 AM,04:21 PM,-10,-5,-5,-5,2,9,67,0.0,1023,-5,10,309,1,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,7,17,17,17,3,13,53,0.0,1018,16,10,2,2,1,-2,0.0,8.7,2,0,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-5,-7,-1,-7,33,0,76,0.0,1021,-1,10,231,22
2018-12-11 03:00:00,13,8,0.0,8.7,4,0,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,10,12,12,12,2,3,86,0.0,1022,9,10,352,2,4,-1,0.0,8.7,2,0,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-4,1,4,1,9,0,56,0.0,1022,0,10,17,8,1,-7,0.0,8.7,2,0,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-8,-3,-3,-3,1,3,70,0.0,1023,-5,10,132,1,1,-4,0.0,8.7,2,0,21,10:19 AM,08:12 PM,07:03 AM,04:11 PM,-7,-1,1,-1,7,2,57,0.0,1023,-3,10,319,6,5,-3,0.0,8.7,2,0,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-6,-8,-3,-8,29,20,78,0.0,1023,-3,10,228,14,-2,-8,0.0,8.7,2,0,21,10:31 AM,08:22 PM,07:15 AM,04:21 PM,-11,-6,-6,-6,4,18,68,0.0,1023,-6,10,173,2,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,7,16,16,16,10,10,55,0.0,1017,15,10,56,6,1,-2,0.0,8.7,2,0,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-4,-6,-1,-6,33,0,80,0.0,1021,-1,10,243,21
2018-12-11 06:00:00,13,8,0.0,8.7,4,0,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,10,14,13,14,5,0,83,0.0,1022,8,10,22,4,4,-1,0.0,8.7,2,0,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-4,0,3,0,9,0,63,0.0,1022,-1,10,35,8,1,-7,0.0,8.7,2,0,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-9,-5,-5,-5,2,3,69,0.0,1023,-7,10,4,2,1,-4,0.0,8.7,2,0,21,10:19 AM,08:12 PM,07:03 AM,04:11 PM,-9,-5,-3,-5,8,4,60,0.0,1023,-4,10,334,7,5,-3,0.0,8.7,2,0,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-5,-8,-2,-8,37,16,81,0.0,1023,-2,10,231,18,-2,-8,0.0,8.7,2,0,21,10:31 AM,08:22 PM,07:15 AM,04:21 PM,-12,-7,-7,-7,2,14,68,0.0,1023,-8,10,168,1,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,5,16,16,16,7,7,51,0.0,1018,14,10,359,5,1,-2,0.0,8.7,2,0,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-5,-8,-2,-8,28,5,83,0.0,1020,-2,10,240,19
2018-12-11 09:00:00,13,8,0.0,8.7,4,3,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,8,11,11,11,1,8,79,0.0,1023,10,10,253,1,4,-1,0.0,8.7,2,2,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-3,4,5,4,6,2,56,0.0,1021,1,10,41,5,1,-7,0.0,8.7,2,2,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-10,0,0,0,1,6,48,0.0,1021,-1,10,187,1,1,-4,0.0,8.7,2,2,21,10:19 AM,08:12 PM,07:03 AM,04:11 PM,-9,1,1,1,3,6,49,0.0,1022,-1,10,334,3,5,-3,0.0,8.7,2,2,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-4,-5,0,-5,29,15,77,0.0,1022,0,10,236,18,-2,-8,0.0,8.7,2,2,21,10:31 AM,08:22 PM,07:15 AM,04:21 PM,-11,-3,-3,-3,3,8,55,0.0,1021,-4,10,207,3,20,14,0.0,8.7,5,5,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,6,18,18,18,4,13,45,0.0,1018,17,10,49,4,1,-2,0.0,8.7,2,2,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-5,-6,-1,-6,23,15,77,0.0,1019,-1,10,262,16
2018-12-11 12:00:00,13,8,0.0,8.7,4,4,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,8,15,15,15,4,7,62,0.0,1022,13,10,277,4,4,-1,0.0,8.7,2,2,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-3,4,5,4,7,6,55,0.0,1018,3,10,242,6,1,-7,0.0,8.7,2,2,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-9,0,2,0,8,2,45,0.0,1018,1,10,202,7,1,-4,0.0,8.7,2,2,21,10:19 AM,08:12 PM,07:03 AM,04:11 PM,-6,4,5,4,6,2,44,0.0,1018,1,10,229,5,5,-3,0.0,8.7,2,2,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-1,2,5,2,21,7,67,0.0,1020,5,10,245,15,-2,-8,0.0,8.7,2,2,21,10:31 AM,08:22 PM,07:15 AM,04:21 PM,-10,-2,-1,-2,4,3,50,0.0,1017,-2,10,189,3,20,14,0.0,8.7,5,6,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,5,22,24,22,2,6,33,0.0,1017,20,10,217,1,1,-2,0.0,8.7,2,2,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-3,-1,1,-1,8,19,71,0.0,1018,1,10,271,6
2018-12-11 15:00:00,13,8,0.0,8.7,4,4,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,8,14,14,14,7,25,66,0.0,1021,13,10,260,5,4,-1,0.0,8.7,2,2,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-2,5,6,5,10,0,54,0.0,1016,4,10,227,9,1,-7,0.0,8.7,2,2,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-6,-2,0,-2,7,6,63,0.0,1016,-1,10,185,5,1,-4,0.0,8.7,2,2,21,10:19 AM,08:12 PM,07:03 AM,04:11 PM,-6,3,4,3,4,0,51,0.0,1016,0,10,188,4,5,-3,0.0,8.7,2,2,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,0,2,5,2,20,4,72,0.0,1018,5,10,204,11,-2,-8,0.0,8.7,2,2,21,10:31 AM,08:22 PM,07:15 AM,04:21 PM,-9,-2,-2,-2,1,3,58,0.0,1016,-3,10,79,1,20,14,0.0,8.7,5,5,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,8,20,20,20,10,2,47,0.0,1017,19,10,246,9,1,-2,0.0,8.7,2,2,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-4,0,1,0,5,17,70,0.0,1018,1,10,30,4
2018-12-11 18:00:00,13,8,0.0,8.7,4,0,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,10,14,14,14,7,7,78,0.0,1022,12,10,285,5,4,-1,0.0,8.7,2,0,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-4,1,4,1,14,0,56,0.0,1016,2,10,259,12,1,-7,0.0,8.7,2,0,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-6,-2,-2,-2,5,71,73,0.0,1016,-3,10,344,3,1,-4,0.0,8.7,2,0,21,10:19 AM,08:12 PM,07:03 AM,04:11 PM,-6,0,0,0,3,75,64,0.0,1015,0,10,250,2,5,-3,0.0,8.7,2,0,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-2,0,3,0,30,6,70,0.0,1017,3,10,183,14,-2,-8,0.0,8.7,2,0,21,10:31 AM,08:22 PM,07:15 AM,04:21 PM,-10,-4,-4,-4,2,94,62,0.0,1016,-4,10,354,1,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,10,19,19,19,8,0,54,0.0,1019,17,10,247,7,1,-2,0.0,8.7,2,0,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-3,-3,0,-3,17,35,80,0.0,1019,0,10,80,10
2018-12-11 21:00:00,13,8,0.0,8.7,4,0,21,10:39 AM,08:56 PM,07:15 AM,04:51 PM,11,13,13,13,4,15,87,0.0,1023,12,10,256,3,4,-1,0.0,8.7,2,0,21,10:27 AM,08:28 PM,07:10 AM,04:28 PM,-5,-4,1,-4,30,9,61,0.0,1016,1,10,309,21,1,-7,0.0,8.7,2,0,21,10:25 AM,08:19 PM,07:09 AM,04:18 PM,-9,-5,-2,-5,10,71,62,0.0,1015,-3,10,334,6,1,-4,0.0,8.7,2,0,21,10:19 AM,08:12 PM,07:03 AM,04:11 PM,-6,-2,0,-2,8,85,66,0.0,1015,-1,10,313,6,5,-3,0.0,8.7,2,0,21,10:29 AM,08:35 PM,07:10 AM,04:34 PM,-2,-1,3,-1,36,34,69,0.0,1016,3,10,186,17,-2,-8,0.0,8.7,2,0,21,10:31 AM,08:22 PM,07:15 AM,04:21 PM,-8,-4,-4,-4,3,66,70,0.0,1016,-4,10,220,2,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,12,18,18,18,7,0,68,0.0,1019,16,10,125,6,1,-2,0.0,8.7,2,0,21,10:26 AM,08:22 PM,07:08 AM,04:19 PM,-3,-5,0,-5,22,22,84,0.0,1018,0,10,118,13
2018-12-12 00:00:00,15,11,0.0,8.7,4,0,29,11:16 AM,09:52 PM,07:16 AM,04:51 PM,12,12,13,12,10,48,93,0.0,1023,12,10,289,7,4,1,0.0,8.7,2,0,29,11:03 AM,09:26 PM,07:11 AM,04:29 PM,-5,-3,1,-3,20,45,62,0.0,1015,1,10,306,15,1,-5,0.0,8.7,2,0,29,11:01 AM,09:17 PM,07:10 AM,04:18 PM,-8,-7,-4,-7,11,27,70,0.0,1014,-4,10,323,7,2,-3,0.0,6.9,1,0,29,10:55 AM,09:10 PM,07:04 AM,04:12 PM,-8,-4,-1,-4,12,97,60,0.0,1013,-2,10,348,9,7,2,0.0,8.7,1,0,29,11:05 AM,09:32 PM,07:11 AM,04:34 PM,1,0,5,0,44,100,76,0.0,1014,5,10,189,23,0,-5,0.1,6.9,1,0,29,11:07 AM,09:20 PM,07:16 AM,04:21 PM,-6,-6,-4,-6,7,81,83,0.0,1015,-4,10,294,4,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,14,20,20,20,3,1,70,0.0,1019,15,10,224,3,3,-1,0.0,8.7,2,0,29,11:02 AM,09:20 PM,07:09 AM,04:20 PM,-2,-4,0,-4,25,55,83,0.0,1016,0,10,131,13
2018-12-12 03:00:00,15,11,0.0,8.7,4,0,29,11:16 AM,09:52 PM,07:16 AM,04:51 PM,11,12,12,12,3,58,94,0.0,1024,12,2,209,2,4,1,0.0,8.7,2,0,29,11:03 AM,09:26 PM,07:11 AM,04:29 PM,-4,-4,1,-4,28,23,69,0.0,1017,1,10,307,20,1,-5,0.0,8.7,2,0,29,11:01 AM,09:17 PM,07:10 AM,04:18 PM,-7,-8,-4,-8,15,27,79,0.0,1015,-4,10,311,10,2,-3,0.0,6.9,1,0,29,10:55 AM,09:10 PM,07:04 AM,04:12 PM,-9,-6,-2,-6,16,18,61,0.0,1013,-3,10,323,12,7,2,0.0,8.7,1,0,29,11:05 AM,09:32 PM,07:11 AM,04:34 PM,1,0,4,0,44,11,80,0.0,1012,4,10,193,24,0,-5,0.1,6.9,1,0,29,11:07 AM,09:20 PM,07:16 AM,04:21 PM,-6,-7,-3,-7,12,63,83,0.1,1016,-3,7,299,8,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,10,15,15,15,7,9,69,0.0,1019,14,10,106,5,3,-1,0.0,8.7,2,0,29,11:02 AM,09:20 PM,07:09 AM,04:20 PM,-2,-4,1,-4,36,79,82,0.0,1013,1,10,144,20
